day,1,2,3,4,5,6,7,8,9,10,11,12
1,NA,-0.114070336245288,0.19365353528153872,-0.08955384205987724,-0.04726951500933173,-0.11242472124341724,-0.040644825358967816,0.03682006623526199,-0.13279913649585323,-0.0523928266212897,-0.27880999367306886,0.01965351120128527
2,0.09727302099470667,0.07188191651054114,0.09848153075990267,0.0028468823922685052,0.12359312545473669,0.1276229880244934,0.1909540838329292,0.12014162322364229,0.06555849173250963,0.10488157313081284,0.06649687934294407,-0.10973331263423453
3,-0.06284865910827794,-0.06998715850877603,0.06475103085206745,0.08375987594400633,0.08627820187772696,0.08277054604727098,0.14458250782139315,0.1241644860939717,-0.07354861024143539,0.07282312927592965,0.0025602281514753994,-0.02436517135278601
4,-0.03149857417044501,-0.12899568142847043,0.015013519129359843,0.016466839507703675,0.07159228161622742,-0.0470547538929825,NA,0.1176723606619089,0.031164707986225778,0.12636368058882708,-0.021505165119751517,-0.10339198724021786
5,-0.045914660630268354,-0.13567611284236997,-0.06681954259857503,-0.05316253132802745,-0.011372952115903626,0.001363748155881692,-0.06799621654184693,-0.02114893297351472,-0.036847047135401184,-0.201216225414677,-0.03813429258993398,-0.11833259509413485
6,-0.04646623380371981,-0.04178861192162632,-0.23574906696054992,0.004909451106825141,0.033678620479699495,0.04231466107701802,0.0255286307822784,0.02287189267887117,-0.06925199553686304,-0.029750946010322202,0.0465903662650891,-0.054158576432719374
7,0.1212007316117633,-0.08084739288047449,0.042483444801003106,-0.02070825302291406,0.06418249822402083,-0.028448964437899186,0.07981549534964838,0.016451295203847634,0.09744150697115656,0.02104711774834281,0.014981887572200616,-0.06889520269410523
8,-0.09547863776613365,-0.08212599466963898,0.015079628771608582,0.01677907378633056,0.04832835642461838,-0.01967119002432633,0.025066626075018673,-0.0071427421788226786,0.03152269525833214,-0.013760010626527453,-0.009167214705252943,-0.09736648094512948
9,-0.13174248878974673,-0.117479741516552,0.03660537334603242,-0.020554896735315437,-0.03738093240555715,-0.09393666603490429,-0.036682395852463294,-0.05995695236035913,-0.04380566819279464,0.02585906710208232,-0.0717583983461097,-0.1756954513161258
10,-0.12023489467006084,-0.11124560318899535,0.061632046993674326,-0.0073022689759707025,-0.05843002854406087,-0.05643490192804071,-0.05673003961002611,-0.05621967519706901,-0.013864213728996258,0.03112758057565402,-0.057947539359298125,-0.07705998571056179
11,-0.08318271528769079,-0.008359420887923087,0.19547848881475957,0.07222018487854893,0.01422633318188158,0.012557797654225829,-0.0424462083685208,0.03132130023010042,0.06649645595592253,0.06769749426815742,NA,-0.06239651544614965
12,-0.056001889158882635,-0.0030193170454789245,0.11694966191120505,-0.07849723823860094,-0.031948091716638,-0.05221862920289799,-0.08747176074879,0.041459302380589334,0.03997100827502701,-0.07107620454632294,0.04531854429729849,-0.07269348355837614
13,-0.06420160214780278,-0.034448479914330823,0.15390288931802656,0.09608581083325166,-0.04318328939550983,0.006301094308417618,-0.03202971096388289,0.013646227181861472,0.03972305322669692,0.037576801397777616,-0.05257441909057527,0.025480230712616583
14,-0.022394502661774656,-0.003184215079627692,0.16945094552990375,0.03667987471481178,-0.0549682736746689,0.027008520493313426,-0.027261424464032465,0.03568466285442397,0.08737220719174618,0.0799577029135749,-0.03787017296865261,0.0010184234944814472
15,0.059703607946551385,-0.10898902610042249,0.05647181689009548,0.03068037323680583,-0.017147047065180315,0.055172462611602094,0.017822633088535156,0.05306007367485194,0.13200437690449338,0.06298204985834248,0.005301815855820058,0.10517239718991722
16,-0.14200992684868793,-0.017459115236477307,-3.8349840054082915e-4,0.08238553369987343,-0.04852958099578436,-0.011556622686953946,0.023492257516376652,0.008228248051182926,0.027424869400556856,0.02794709096579868,-0.06936531262444699,-0.027015832417076332
17,-0.013336052448642641,0.025245099229655784,-0.03951174051633329,0.02895330672579443,-0.012488844693181166,0.15266373267423405,-0.0741623972729779,0.05751696035366031,-0.07159041810597154,-0.13149324242788132,-0.045378813759462296,0.004721777035250118
18,-0.010484070440655765,0.07040059988228331,-0.03902782427838923,-0.028953306725794725,0.10453607362732129,8.056885594947022e-4,0.06596462194556116,-0.06418306810051795,0.02133253417742401,0.07793274732461286,0.0073758754386134785,0.10614265519298689
19,-0.0687865862641474,0.0044227545881703155,-0.07671066363118224,0.073324854374547,0.026396910662975417,0.09921983892116272,0.03178650262280992,0.08360278873457934,-0.0916552586927327,-0.053258306024058066,-0.018760395168215146,0.11503546264605682
20,-0.08533744976602728,0.041897113760990014,-0.06705838166690853,0.0541582227326212,0.042435968749874375,0.03954821465742283,0.017090746008703327,0.006295036210139298,-0.01437548715348242,-0.06396638840372793,0.08452813006904715,0.10265989579681688
21,0.08970131261641635,0.047852422915027774,-0.07698723187577802,-0.015085392329672487,0.0915228409603542,0.025652153097086933,-0.0041994702272585265,-0.03853105483173075,0.025023473742253968,0.10552112557949365,0.12067001646766837,0.2012478557230045
22,-0.018810193712664645,0.015602302327253046,-0.07616572462095819,-0.005037799649001161,0.08428971510499782,0.00908784441822773,-0.022512820193133436,-0.0458881034924649,-0.21596410027684734,0.03614559501475067,0.17067495242961117,0.0995049409668298
23,0.04240440301171994,0.043945810262615556,-0.12159526357273848,-0.01423142956684937,0.030862068661793876,-0.04734995724279757,-0.052047742822630035,-0.030635323150850637,-0.013531003485276069,0.03964769176161033,0.0468390518828756,0.2103438460311833
24,-0.0520483672063913,-0.014428977062202017,-0.11822038289216896,-0.03734483981459777,-0.061224907083316606,-0.0685130539173395,-0.09929015687601832,-0.05946832327490832,-0.03012598248504183,-0.02136806029906217,-1.069367296158546e-5,0.0318567487180025
25,-0.036203414748505997,0.044076366947443435,-0.05271982488138219,-0.045705241866241676,-0.07048066566865885,-0.03518616992599831,-0.07347256252422868,-0.025345183537858806,-0.022222592129892638,-0.05858062683146198,-0.011254160111904358,NA
26,-0.024965642607703325,0.1008777792403644,-0.17110483911189434,-0.002453130640213566,0.048030597775272306,0.0068668133067574634,-2.3191538442137206e-4,0.06416221113307757,0.07972481879543993,0.009631214145668174,0.06936802319392632,0.025631418164270944
27,0.004101352352068506,0.08054937039064679,-0.06255008698151494,0.003030358482653221,0.07521746594967067,0.0023872444828635458,-0.008342636769439693,0.02409617850823144,-0.013870269998639991,-0.03001733684822638,0.035302861528550035,-0.0332433403438766
28,0.1183043926826839,-0.0023203921015017863,-0.09679021143096445,-0.01580021867331176,0.047478800964261623,-0.024887283970283502,0.0025975214496930334,0.02871352156309554,-0.019402721053739407,-0.002319956758403456,0.13339427882852037,-0.0017171886336885302
29,4.4251012405192164e-4,0.19009907526831005,-0.0393462131666339,-0.06127016537100629,-0.03478293021493965,-0.00933243277806954,0.010178935905275549,-0.008149164376042675,-0.006998930143225695,-0.05536022716938332,0.13862717184897325,0.026547566018294007
30,0.006018952956392185,NA,-0.04736529071180499,-0.045582198549234634,-0.04016712196458001,0.00921235697959272,0.014643161479696342,0.003808023528437815,-0.043093403741901695,-0.04006045756196008,-0.2638380624674528,0.23012168955434276
31,0.010608279356699635,NA,-0.06804270022671018,NA,0.006807372915158632,NA,0.05362958252537072,-0.00821596536322217,NA,0.042064673145770115,NA,0.017861245495215058
